Dataset,Reduction Method,Parameters,Explained Variance,Number of Components,Classifier,Accuracy,Reduction Time per Sample,Classification Time per Sample
mnist,none,N/A,N/A,64,knn,0.9833333333333332,N/A,0.000522s
mnist,none,N/A,N/A,64,linear,0.9666666666666668,N/A,0.002587s
mnist,none,N/A,N/A,64,mahalanobis,0.9333333333333332,N/A,0.001977s
mnist,lda,N/A,N/A,9,knn,0.9666666666666668,0.000010s,0.000045s
mnist,lda,N/A,N/A,9,linear,0.9555555555555556,0.000011s,0.000819s
mnist,lda,N/A,N/A,9,mahalanobis,0.9694444444444444,0.000014s,0.000127s
mnist,pca,20.0,0.8946966,20,knn,0.975,0.000019s,0.000263s
mnist,pca,20.0,0.89469266,20,linear,0.9555555555555556,0.000090s,0.000865s
mnist,pca,20.0,0.8946908,20,mahalanobis,0.9722222222222222,0.000061s,0.000342s
mnist,pca,30.0,0.9592662,30,knn,0.9666666666666668,0.000133s,0.000262s
mnist,pca,30.0,0.95926607,30,linear,0.9666666666666668,0.000022s,0.000818s
mnist,pca,30.0,0.959264,30,mahalanobis,0.9694444444444444,0.000018s,0.000534s
mnist,pca,40.0,0.9883075,40,knn,0.9611111111111112,0.000064s,0.000273s
mnist,pca,40.0,0.9883078,40,linear,0.9694444444444444,0.000169s,0.000867s
mnist,pca,40.0,0.98830736,40,mahalanobis,0.9666666666666668,0.000062s,0.000779s
mnist,pca,50.0,0.99952996,50,knn,0.9472222222222222,0.000037s,0.000263s
mnist,pca,50.0,0.9995299,50,linear,0.9722222222222222,0.000232s,0.000896s
mnist,pca,50.0,0.9995298,50,mahalanobis,0.95,0.000067s,0.001269s
mnist,pca,0.95,0.9500601,28,knn,0.9666666666666668,0.000004s,0.000245s
mnist,pca,0.95,0.9500601,28,linear,0.9666666666666668,0.000003s,0.000826s
mnist,pca,0.95,0.9500601,28,mahalanobis,0.9722222222222222,0.000004s,0.000438s
mnist,pca+lda,20.0,0.89470327,9,knn,0.9777777777777776,0.000062s,0.000050s
mnist,pca+lda,20.0,0.8946991,9,linear,0.9472222222222222,0.000043s,0.000827s
mnist,pca+lda,20.0,0.894677,9,mahalanobis,0.9638888888888888,0.000066s,0.000115s
mnist,pca+lda,30.0,0.959263,9,knn,0.9638888888888888,0.000088s,0.000156s
mnist,pca+lda,30.0,0.9592686,9,linear,0.9527777777777776,0.000044s,0.000837s
mnist,pca+lda,30.0,0.95926374,9,mahalanobis,0.9583333333333334,0.000035s,0.000121s
mnist,pca+lda,40.0,0.98830825,9,knn,0.9666666666666668,0.000071s,0.000088s
mnist,pca+lda,40.0,0.9883077,9,linear,0.9583333333333334,0.000029s,0.000834s
mnist,pca+lda,40.0,0.98830765,9,mahalanobis,0.9694444444444444,0.000142s,0.000121s
mnist,pca+lda,50.0,0.99952966,9,knn,0.9694444444444444,0.000090s,0.000080s
mnist,pca+lda,50.0,0.9995298,9,linear,0.9555555555555556,0.000043s,0.000870s
mnist,pca+lda,50.0,0.9995298,9,mahalanobis,0.975,0.000148s,0.000185s
mnist,pca+lda,0.95,0.9500601,9,knn,0.9583333333333334,0.000008s,0.000051s
mnist,pca+lda,0.95,0.9500601,9,linear,0.9527777777777776,0.000008s,0.000806s
mnist,pca+lda,0.95,0.9500601,9,mahalanobis,0.9555555555555556,0.000014s,0.000124s
wine,none,N/A,N/A,13,knn,0.9444444444444444,N/A,0.000087s
wine,none,N/A,N/A,13,linear,1.0,N/A,0.007120s
wine,none,N/A,N/A,13,mahalanobis,0.9444444444444444,N/A,0.000077s
wine,lda,N/A,N/A,2,knn,1.0,0.000018s,0.000136s
wine,lda,N/A,N/A,2,linear,1.0,0.000014s,0.007424s
wine,lda,N/A,N/A,2,mahalanobis,1.0,0.000018s,0.000050s
wine,pca,2.0,0.5422535936254838,2,knn,1.0,0.000008s,0.000150s
wine,pca,2.0,0.5422535936254838,2,linear,1.0,0.000005s,0.007117s
wine,pca,2.0,0.5422535936254838,2,mahalanobis,0.9722222222222222,0.000009s,0.000052s
wine,pca,3.0,0.6600181085987928,3,knn,1.0,0.000009s,0.000105s
wine,pca,3.0,0.6600181085987928,3,linear,0.9722222222222222,0.000003s,0.007661s
wine,pca,3.0,0.6600181085987928,3,mahalanobis,0.9444444444444444,0.000010s,0.000052s
wine,pca,5.0,0.8018684346441246,5,knn,0.9722222222222222,0.000004s,0.000058s
